gender	age	country	friend_count	lifetime	city_played	pictionary_played	scramble_played	sniper_played	paid
female	22	USA	0	34	19	8	7	0	non_payer
female	20	USA	3	92	53	23	13	3	non_payer
female	27	USA	41	1	0	0	1	0	non_payer
female	18	USA	5	48	16	21	11	0	non_payer
female	23	GERMANY	0	8	4	4	0	0	non_payer
female	18	USA	2	4	3	0	1	0	non_payer
female	28	UK	0	3	1	2	0	0	non_payer
female	30	FRANCE	0	8	2	5	0	1	non_payer
female	18	USA	0	3	2	1	0	0	non_payer
female	22	USA	38	99	50	23	17	9	payer
female	21	UK	4	2	0	1	1	0	non_payer
male	22	USA	53	19	1	1	3	14	non_payer
male	21	CANADA	20	50	5	3	9	33	non_payer
female	18	UK	0	9	2	4	2	1	non_payer
female	22	UK	5	7	2	3	0	2	non_payer
female	19	CANADA	67	34	16	11	6	1	payer
female	24	UK	31	100	56	23	13	8	non_payer
female	24	MEXICO	4	99	44	31	21	3	non_payer
female	30	FRANCE	0	41	16	14	11	0	non_payer
female	25	UK	29	43	21	16	4	2	payer
male	19	USA	1	2	0	0	0	2	non_payer
male	18	UK	5	63	8	4	10	41	non_payer
male	18	CANADA	2	1	0	0	1	0	non_payer
female	24	USA	0	48	23	15	7	3	non_payer
female	19	USA	56	75	34	26	13	2	non_payer
male	29	MEXICO	3	91	3	9	17	62	non_payer
female	25	UK	0	0	0	0	0	0	non_payer
female	26	FRANCE	0	8	2	1	4	1	non_payer
male	20	USA	0	5	1	0	0	4	non_payer
female	20	UK	1	68	30	21	12	5	non_payer
male	18	FRANCE	55	1	0	1	0	0	non_payer
female	28	UK	0	50	23	18	8	1	non_payer
male	18	USA	5	1	0	0	1	0	non_payer
female	24	UK	0	8	4	2	1	1	non_payer
female	20	EGYPT	80	87	38	27	18	4	payer
male	20	USA	2	5	1	1	1	2	non_payer
female	22	USA	96	0	0	0	0	0	non_payer
male	22	CANADA	4	5	0	3	1	1	non_payer
female	18	UK	0	4	2	0	1	1	non_payer
female	25	GERMANY	3	48	26	17	5	0	non_payer
male	22	USA	2	7	0	2	1	4	non_payer
female	19	UK	2	0	0	0	0	0	non_payer
male	18	USA	0	93	9	5	9	70	non_payer
female	23	UK	88	72	40	20	9	3	payer
male	20	UK	17	6	0	3	0	3	non_payer
male	18	UK	74	0	0	0	0	0	non_payer
female	18	CANADA	0	26	9	11	5	1	non_payer
male	20	USA	0	6	1	0	3	2	non_payer
female	27	MEXICO	0	9	6	1	1	1	non_payer
female	19	USA	54	41	17	14	8	2	payer
female	20	USA	0	52	28	15	8	1	non_payer
female	25	USA	0	1	0	1	0	0	non_payer
male	23	FRANCE	0	7	0	0	4	3	non_payer
male	20	USA	4	1	0	0	1	0	non_payer
female	20	UK	63	89	41	31	14	3	non_payer
female	20	USA	93	4	1	2	1	0	non_payer
female	23	FRANCE	0	9	4	3	1	1	non_payer
female	22	USA	0	8	3	3	2	0	non_payer
female	23	USA	4	5	2	2	1	0	non_payer
female	21	EGYPT	0	1	1	0	0	0	non_payer
male	26	USA	40	30	4	2	4	20	payer
female	18	USA	0	2	0	1	1	0	non_payer
male	29	UK	0	4	1	0	0	3	non_payer
female	21	EGYPT	57	1	1	0	0	0	non_payer
female	22	FRANCE	0	8	5	3	0	0	non_payer
female	24	USA	2	4	2	2	0	0	non_payer
female	24	EGYPT	0	1	1	0	0	0	non_payer
female	30	USA	5	5	4	1	0	0	non_payer
female	21	UK	0	3	2	0	1	0	non_payer
male	19	USA	0	9	3	0	0	6	non_payer
male	19	USA	5	70	6	6	18	40	non_payer
female	28	USA	0	2	1	1	0	0	non_payer
female	18	CANADA	5	8	3	3	1	1	non_payer
female	26	GERMANY	51	5	3	2	0	0	non_payer
female	23	UK	5	4	1	2	1	0	non_payer
male	22	USA	0	7	0	1	3	3	non_payer
female	27	GERMANY	0	8	6	1	0	1	non_payer
male	28	USA	0	6	0	0	1	5	non_payer
male	20	MEXICO	0	8	2	0	2	4	non_payer
male	18	USA	0	10	0	1	2	7	non_payer
male	27	USA	0	7	1	1	0	5	non_payer
female	27	UK	1	7	4	1	2	0	non_payer
female	21	USA	3	9	8	1	0	0	non_payer
male	26	MEXICO	85	2	0	0	1	1	non_payer
female	19	UK	32	10	7	0	2	1	non_payer
male	23	GERMANY	0	6	0	1	0	5	non_payer
male	22	MEXICO	0	9	2	0	0	7	non_payer
female	18	USA	4	1	0	1	0	0	non_payer
female	18	USA	0	99	48	32	17	2	non_payer
male	19	USA	0	8	1	0	2	5	non_payer
male	19	USA	22	0	0	0	0	0	non_payer
female	18	MEXICO	2	6	3	2	1	0	non_payer
male	27	USA	0	6	1	0	1	4	non_payer
female	19	CANADA	4	6	1	1	3	1	non_payer
female	19	USA	0	44	24	13	4	3	non_payer
male	19	UK	4	3	0	1	0	2	non_payer
female	20	USA	3	2	2	0	0	0	non_payer
female	29	USA	0	5	2	1	1	1	non_payer
female	23	USA	57	3	1	1	1	0	non_payer
female	26	UK	4	2	2	0	0	0	non_payer
female	19	USA	0	49	24	14	9	2	non_payer
male	24	UK	0	10	0	0	1	9	non_payer
female	22	UK	3	75	39	22	10	4	non_payer
female	22	UK	58	8	5	3	0	0	non_payer
female	21	USA	0	40	23	12	3	2	non_payer
male	22	FRANCE	0	7	0	0	1	6	non_payer
male	26	UK	0	2	1	0	0	1	non_payer
female	18	USA	99	67	41	19	6	1	non_payer
female	20	USA	0	2	1	1	0	0	non_payer
female	18	USA	32	76	34	26	12	4	payer
female	20	FRANCE	0	1	0	1	0	0	non_payer
male	18	USA	4	4	1	1	1	1	non_payer
female	19	USA	0	8	6	2	0	0	non_payer
male	18	CANADA	4	1	0	0	0	1	non_payer
female	28	UK	92	0	0	0	0	0	non_payer
female	18	USA	2	11	7	2	2	0	non_payer
female	18	UK	21	9	3	4	1	1	non_payer
female	27	USA	0	2	1	0	1	0	non_payer
female	19	USA	2	1	0	1	0	0	non_payer
male	23	UK	0	4	0	0	1	3	non_payer
male	21	USA	3	69	8	4	17	40	non_payer
female	19	UK	43	2	1	1	0	0	non_payer
female	18	USA	24	2	1	0	0	1	non_payer
female	21	UK	5	2	1	1	0	0	non_payer
female	20	GERMANY	0	1	1	0	0	0	non_payer
female	23	USA	0	0	0	0	0	0	non_payer
male	27	FRANCE	47	87	9	6	22	50	payer
female	18	EGYPT	5	14	10	1	2	1	non_payer
female	21	USA	92	40	21	13	5	1	payer
female	19	FRANCE	35	8	4	3	1	0	non_payer
male	19	EGYPT	0	4	0	0	1	3	non_payer
male	23	UK	0	99	4	8	16	71	non_payer
female	18	USA	86	62	33	17	11	1	non_payer
male	27	GERMANY	0	10	0	0	1	9	non_payer
female	26	GERMANY	0	5	3	2	0	0	non_payer
male	23	UK	5	94	9	6	22	57	non_payer
female	27	USA	61	95	42	31	17	5	non_payer
female	18	USA	77	54	28	16	9	1	non_payer
female	20	USA	0	5	3	1	1	0	non_payer
female	19	UK	22	25	10	11	3	1	non_payer
male	21	USA	4	8	1	2	1	4	non_payer
female	26	USA	0	8	3	4	1	0	non_payer
female	24	USA	79	6	3	3	0	0	non_payer
female	21	EGYPT	25	65	38	16	8	3	payer
male	18	USA	48	2	0	0	1	1	non_payer
male	22	USA	0	22	1	4	2	15	non_payer
male	21	USA	7	68	4	8	16	40	non_payer
female	23	USA	31	5	4	1	0	0	non_payer
female	26	FRANCE	47	41	23	13	4	1	non_payer
female	20	UK	5	2	2	0	0	0	non_payer
female	26	GERMANY	0	65	30	23	10	2	non_payer
male	24	MEXICO	63	67	6	7	9	45	non_payer
male	20	USA	0	0	0	0	0	0	non_payer
female	23	UK	0	42	21	12	6	3	non_payer
female	20	USA	57	2	2	0	0	0	non_payer
male	22	CANADA	0	1	0	0	1	0	non_payer
female	29	USA	38	2	0	2	0	0	non_payer
female	27	GERMANY	0	75	38	27	8	2	non_payer
female	30	USA	0	8	3	3	2	0	non_payer
female	18	UK	18	4	1	1	2	0	non_payer
female	18	USA	38	31	14	10	7	0	payer
female	18	USA	0	1	0	1	0	0	non_payer
female	22	USA	0	24	12	9	3	0	non_payer
female	20	USA	0	1	0	0	1	0	non_payer
male	18	EGYPT	0	65	6	8	10	41	non_payer
male	18	USA	56	8	1	1	3	3	non_payer
female	27	UK	0	9	4	1	3	1	non_payer
male	20	USA	66	1	1	0	0	0	non_payer
male	25	UK	17	1	0	0	0	1	non_payer
female	21	USA	34	4	2	2	0	0	non_payer
female	24	FRANCE	0	67	33	20	12	2	non_payer
female	18	USA	80	4	2	2	0	0	non_payer
female	18	USA	0	0	0	0	0	0	non_payer
male	25	USA	12	3	0	0	0	3	non_payer
female	20	USA	0	2	1	1	0	0	non_payer
female	23	USA	65	61	30	24	7	0	payer
female	20	USA	8	8	3	1	3	1	non_payer
female	18	MEXICO	0	69	35	25	7	2	non_payer
female	25	UK	2	7	5	1	1	0	non_payer
female	20	GERMANY	0	1	1	0	0	0	non_payer
female	19	GERMANY	0	8	2	4	2	0	non_payer
male	21	USA	0	76	6	6	14	50	non_payer
male	18	USA	40	7	2	0	3	2	non_payer
female	23	USA	2	3	3	0	0	0	non_payer
female	19	GERMANY	4	2	1	1	0	0	non_payer
female	22	USA	2	5	3	1	0	1	non_payer
male	18	GERMANY	0	82	11	4	15	52	non_payer
female	19	USA	0	6	2	2	1	1	non_payer
female	25	USA	0	1	1	0	0	0	non_payer
female	21	FRANCE	0	1	1	0	0	0	non_payer
female	20	UK	75	52	29	14	7	2	non_payer
female	22	UK	0	5	4	1	0	0	non_payer
female	22	USA	0	45	28	10	6	1	non_payer
female	19	USA	87	5	3	1	0	1	non_payer
male	24	UK	31	10	0	1	2	7	non_payer
female	18	CANADA	3	6	2	4	0	0	non_payer
male	24	USA	0	91	5	8	18	60	non_payer
male	19	UK	97	9	0	0	1	8	non_payer
male	22	UK	49	17	1	1	4	11	non_payer
female	22	UK	4	6	5	1	0	0	non_payer
female	27	EGYPT	75	6	3	3	0	0	non_payer
female	27	USA	0	8	2	5	1	0	non_payer
male	28	USA	2	10	1	2	2	5	non_payer
female	22	USA	46	6	2	4	0	0	non_payer
female	19	FRANCE	0	84	33	29	18	4	non_payer
female	22	USA	0	21	12	5	3	1	non_payer
female	21	USA	1	63	31	19	11	2	non_payer
female	27	UK	1	82	35	29	14	4	non_payer
male	22	USA	4	1	0	0	0	1	non_payer
female	18	USA	3	4	3	1	0	0	non_payer
female	29	USA	0	26	11	7	7	1	non_payer
female	22	UK	0	10	6	4	0	0	non_payer
male	24	USA	0	5	0	0	0	5	non_payer
female	22	UK	1	65	28	20	12	5	non_payer
female	19	USA	2	56	27	20	8	1	non_payer
female	25	FRANCE	11	47	22	11	13	1	payer
female	19	USA	4	5	3	2	0	0	non_payer
female	18	USA	48	73	35	26	10	2	non_payer
male	21	USA	0	31	5	6	5	15	non_payer
female	29	USA	0	7	3	3	1	0	non_payer
female	21	FRANCE	0	92	44	36	10	2	non_payer
male	18	UK	0	5	0	1	2	2	non_payer
female	21	FRANCE	78	94	42	24	22	6	payer
male	22	GERMANY	65	9	0	0	2	7	non_payer
male	30	MEXICO	57	6	2	0	2	2	non_payer
male	18	USA	75	9	1	1	1	6	non_payer
female	24	UK	0	5	1	1	3	0	non_payer
female	22	USA	0	5	4	1	0	0	non_payer
female	23	UK	47	4	3	1	0	0	non_payer
female	21	UK	81	39	17	12	8	2	payer
female	23	USA	11	80	34	23	20	3	non_payer
female	18	UK	4	5	2	3	0	0	non_payer
female	23	USA	2	1	1	0	0	0	non_payer
female	19	USA	0	85	46	25	9	5	non_payer
female	24	USA	97	39	21	8	8	2	payer
male	18	USA	99	5	0	0	1	4	non_payer
female	28	UK	0	25	16	6	2	1	non_payer
female	22	USA	77	8	1	5	2	0	non_payer
female	20	UK	83	93	44	25	21	3	non_payer
male	22	USA	0	10	1	2	1	6	non_payer
female	21	USA	0	10	6	1	3	0	non_payer
female	24	UK	5	10	5	5	0	0	non_payer
male	20	UK	0	10	2	2	2	4	non_payer
male	21	UK	4	5	1	0	1	3	non_payer
female	20	USA	0	47	27	12	5	3	non_payer
male	28	FRANCE	0	6	0	1	1	4	non_payer
male	24	CANADA	83	65	4	11	10	40	payer
male	23	MEXICO	0	9	1	1	1	6	non_payer
female	22	CANADA	2	1	0	1	0	0	non_payer
female	18	USA	0	47	24	16	5	2	non_payer
female	22	MEXICO	0	37	24	7	5	1	non_payer
male	21	UK	15	65	8	7	12	38	payer
female	22	UK	0	2	2	0	0	0	non_payer
male	25	USA	62	3	0	0	1	2	non_payer
male	18	USA	17	1	0	0	0	1	non_payer
male	18	CANADA	0	44	5	3	6	30	non_payer
female	28	USA	3	8	6	0	2	0	non_payer
female	24	MEXICO	0	8	5	3	0	0	non_payer
female	22	USA	2	1	1	0	0	0	non_payer
female	24	UK	5	5	3	2	0	0	non_payer
female	29	USA	47	6	2	2	1	1	non_payer
male	20	UK	26	7	0	0	4	3	non_payer
female	21	GERMANY	92	0	0	0	0	0	non_payer
female	27	USA	4	9	6	2	1	0	non_payer
female	18	USA	10	66	26	28	10	2	non_payer
female	18	UK	88	13	3	8	2	0	non_payer
female	22	UK	4	6	3	3	0	0	non_payer
female	23	USA	1	8	2	5	1	0	non_payer
female	20	USA	0	9	2	2	4	1	non_payer
female	20	UK	2	8	2	3	3	0	non_payer
female	18	USA	0	48	26	15	6	1	non_payer
female	18	UK	64	71	31	22	17	1	non_payer
female	23	USA	4	6	3	2	1	0	non_payer
male	19	GERMANY	0	5	0	0	2	3	non_payer
male	18	USA	32	44	5	4	7	28	payer
male	18	EGYPT	5	4	0	1	0	3	non_payer
female	20	USA	1	6	5	1	0	0	non_payer
male	23	UK	31	77	5	2	21	49	payer
male	19	MEXICO	83	6	3	0	0	3	non_payer
male	24	USA	5	7	0	0	1	6	non_payer
female	20	UK	0	7	2	3	2	0	non_payer
female	28	USA	56	1	0	1	0	0	non_payer
male	30	MEXICO	5	8	0	1	1	6	non_payer
female	19	FRANCE	89	4	3	0	1	0	non_payer
female	18	USA	1	56	32	16	6	2	non_payer
female	24	USA	3	3	2	1	0	0	non_payer
male	21	CANADA	53	39	4	5	7	23	non_payer
female	24	UK	99	2	1	1	0	0	non_payer
female	30	CANADA	68	2	1	1	0	0	non_payer
female	20	USA	85	32	17	8	6	1	non_payer
female	20	CANADA	78	57	35	11	9	2	non_payer
female	18	UK	0	83	44	24	13	2	non_payer
female	24	GERMANY	0	3	2	0	1	0	non_payer
female	18	UK	3	66	36	20	8	2	non_payer
female	27	GERMANY	0	0	0	0	0	0	non_payer
female	25	FRANCE	0	10	4	4	1	1	non_payer
female	22	UK	0	68	35	21	12	0	non_payer
female	24	USA	2	87	35	33	15	4	non_payer
female	20	USA	0	20	9	4	6	1	non_payer
female	18	UK	37	8	4	2	2	0	non_payer
female	22	USA	1	10	5	3	1	1	non_payer
female	25	USA	96	4	2	1	1	0	non_payer
female	24	USA	23	5	1	3	1	0	non_payer
male	19	UK	0	3	0	0	3	0	non_payer
female	21	USA	4	40	27	8	4	1	non_payer
female	21	MEXICO	61	81	41	27	13	0	non_payer
female	26	UK	0	6	3	3	0	0	non_payer
female	20	UK	3	9	4	3	1	1	non_payer
female	21	UK	0	4	3	1	0	0	non_payer
female	25	USA	0	75	37	28	4	6	non_payer
female	28	UK	98	10	4	4	2	0	non_payer
male	23	USA	2	10	0	2	1	7	non_payer
male	22	USA	0	52	2	3	18	29	non_payer
female	22	GERMANY	65	8	3	2	3	0	non_payer
male	28	EGYPT	65	16	1	3	1	11	non_payer
female	19	USA	3	75	41	24	9	1	non_payer
female	21	UK	5	1	1	0	0	0	non_payer
male	24	FRANCE	0	9	1	0	0	8	non_payer
male	26	UK	41	7	0	1	2	4	non_payer
female	23	USA	0	65	40	15	9	1	non_payer
male	20	MEXICO	0	8	1	1	1	5	non_payer
female	19	USA	78	71	32	25	10	4	non_payer
female	23	USA	1	6	4	1	1	0	non_payer
female	21	USA	0	3	3	0	0	0	non_payer
male	20	UK	3	7	0	0	1	6	non_payer
female	27	MEXICO	2	39	19	13	5	2	non_payer
female	18	EGYPT	0	65	34	18	9	4	non_payer
female	19	FRANCE	0	0	0	0	0	0	non_payer
female	20	USA	66	62	25	20	13	4	non_payer
female	22	UK	1	10	5	3	1	1	non_payer
male	22	USA	4	5	0	0	1	4	non_payer
male	18	UK	2	54	3	7	4	40	non_payer
female	18	CANADA	0	44	23	11	8	2	non_payer
male	20	USA	5	5	0	0	1	4	non_payer
male	29	GERMANY	2	1	0	0	1	0	non_payer
female	18	USA	48	76	40	20	11	5	payer
female	29	UK	71	1	0	1	0	0	non_payer
female	27	USA	0	0	0	0	0	0	non_payer
female	27	USA	2	9	5	2	2	0	non_payer
male	25	USA	65	2	0	0	1	1	non_payer
female	21	USA	0	86	46	27	13	0	non_payer
female	28	MEXICO	3	8	4	1	2	1	non_payer
male	28	UK	3	2	0	0	0	2	non_payer
female	20	USA	0	3	3	0	0	0	non_payer
female	21	USA	80	7	2	3	2	0	non_payer
female	27	GERMANY	0	55	34	14	6	1	non_payer
male	18	USA	0	5	1	1	0	3	non_payer
male	21	UK	5	7	1	1	1	4	non_payer
male	20	USA	0	56	3	2	12	39	non_payer
female	24	CANADA	3	5	4	0	1	0	non_payer
male	22	USA	1	80	8	4	8	60	non_payer
male	24	USA	0	9	1	0	3	5	non_payer
female	18	USA	0	90	48	22	16	4	non_payer
female	28	USA	2	8	4	2	2	0	non_payer
female	19	USA	57	2	1	1	0	0	non_payer
male	26	UK	74	4	0	0	1	3	non_payer
female	18	USA	1	7	4	2	0	1	non_payer
male	21	FRANCE	0	41	5	4	9	23	non_payer
female	18	USA	5	6	4	2	0	0	non_payer
male	29	USA	37	80	9	9	15	47	non_payer
female	19	USA	8	7	5	1	1	0	non_payer
male	19	USA	5	3	1	0	2	0	non_payer
female	30	UK	0	6	2	3	1	0	non_payer
female	21	UK	0	0	0	0	0	0	non_payer
female	21	USA	87	1	0	1	0	0	non_payer
female	18	CANADA	0	71	34	22	10	5	non_payer
female	19	UK	81	41	17	14	9	1	non_payer
female	20	USA	0	7	5	1	0	1	non_payer
female	18	UK	29	3	1	1	1	0	non_payer
female	23	GERMANY	2	2	1	0	1	0	non_payer
female	19	EGYPT	1	7	4	1	1	1	non_payer
female	24	FRANCE	0	83	47	25	9	2	non_payer
female	19	CANADA	55	54	30	16	6	2	payer
male	25	FRANCE	4	79	4	9	15	51	non_payer
female	24	FRANCE	0	89	45	32	10	2	non_payer
male	28	USA	0	10	1	2	0	7	non_payer
female	20	FRANCE	0	6	3	1	1	1	non_payer
female	19	USA	0	3	3	0	0	0	non_payer
female	27	USA	87	0	0	0	0	0	non_payer
male	28	USA	18	6	0	0	3	3	non_payer
female	23	USA	47	90	55	21	11	3	non_payer
female	21	UK	0	76	32	23	17	4	non_payer
female	21	USA	52	10	4	5	1	0	non_payer
male	21	GERMANY	28	40	4	4	8	24	non_payer
male	20	FRANCE	66	10	1	0	2	7	non_payer
male	18	GERMANY	4	35	5	1	6	23	non_payer
female	18	USA	3	0	0	0	0	0	non_payer
female	28	USA	4	88	42	26	16	4	non_payer
female	18	FRANCE	1	0	0	0	0	0	non_payer
female	19	GERMANY	8	23	11	6	5	1	non_payer
female	19	USA	0	6	5	1	0	0	non_payer
female	26	UK	84	6	5	1	0	0	non_payer
male	18	FRANCE	0	70	7	9	10	44	non_payer
male	20	MEXICO	4	3	1	1	0	1	non_payer
female	19	USA	4	64	32	19	13	0	non_payer
male	28	USA	0	100	9	5	21	65	non_payer
female	24	UK	6	6	5	1	0	0	non_payer
female	18	FRANCE	44	6	4	1	1	0	non_payer
female	21	USA	100	5	1	2	2	0	non_payer
female	19	UK	0	9	3	2	4	0	non_payer
female	18	USA	1	2	1	1	0	0	non_payer
female	23	UK	2	46	21	17	8	0	non_payer
female	19	USA	2	59	25	20	11	3	non_payer
female	22	USA	4	77	37	26	12	2	non_payer
female	23	USA	61	7	5	2	0	0	non_payer
female	21	USA	3	8	3	3	1	1	non_payer
male	21	UK	0	6	3	2	0	1	non_payer
female	21	GERMANY	0	9	5	2	1	1	non_payer
female	20	UK	0	91	48	22	18	3	non_payer
female	23	EGYPT	11	5	4	1	0	0	non_payer
male	25	USA	0	2	0	0	0	2	non_payer
female	24	USA	4	100	48	34	15	3	non_payer
female	19	UK	2	3	3	0	0	0	non_payer
female	20	CANADA	2	30	17	7	6	0	non_payer
female	18	USA	0	2	0	2	0	0	non_payer
male	22	USA	3	88	8	7	16	57	non_payer
male	18	UK	5	77	3	7	14	53	non_payer
female	22	GERMANY	0	8	5	2	1	0	non_payer
male	20	EGYPT	0	96	3	7	21	65	non_payer
male	20	UK	0	75	1	5	14	55	non_payer
female	20	USA	37	3	1	1	0	1	non_payer
female	19	GERMANY	0	6	5	1	0	0	non_payer
male	21	GERMANY	63	69	3	3	12	51	non_payer
male	29	USA	0	32	5	2	5	20	non_payer
male	18	USA	0	9	1	1	2	5	non_payer
female	24	CANADA	4	6	4	2	0	0	non_payer
female	27	UK	4	0	0	0	0	0	non_payer
female	19	USA	0	6	2	3	0	1	non_payer
female	18	USA	2	90	44	31	12	3	non_payer
female	18	USA	0	8	6	1	1	0	non_payer
male	24	MEXICO	91	70	8	4	14	44	non_payer
female	20	UK	0	6	4	2	0	0	non_payer
male	19	USA	5	80	5	8	13	54	non_payer
female	24	USA	4	12	7	3	1	1	non_payer
female	20	UK	3	37	21	10	3	3	non_payer
female	28	USA	0	7	2	3	1	1	non_payer
female	21	UK	0	3	0	2	1	0	non_payer
female	20	USA	0	30	17	9	3	1	non_payer
male	19	FRANCE	0	66	4	5	13	44	non_payer
female	20	USA	0	3	2	1	0	0	non_payer
male	18	FRANCE	9	39	6	2	10	21	non_payer
female	18	USA	12	4	2	0	2	0	non_payer
male	22	UK	71	83	9	6	19	49	payer
female	18	UK	0	3	3	0	0	0	non_payer
male	21	USA	1	49	4	3	7	35	non_payer
male	20	USA	62	16	3	0	3	10	non_payer
male	20	FRANCE	0	72	4	7	19	42	non_payer
female	20	USA	63	8	0	8	0	0	non_payer
female	22	USA	0	2	2	0	0	0	non_payer
male	18	CANADA	1	43	3	5	8	27	non_payer
female	20	USA	0	4	1	2	1	0	non_payer
male	19	USA	0	71	6	4	13	48	non_payer
female	23	USA	5	5	5	0	0	0	non_payer
female	26	UK	0	6	4	0	0	2	non_payer
female	23	USA	95	10	3	4	1	2	non_payer
female	18	FRANCE	0	40	20	14	4	2	non_payer
female	19	USA	4	4	3	1	0	0	non_payer
female	20	USA	4	3	2	0	1	0	non_payer
female	19	GERMANY	0	4	1	2	1	0	non_payer
female	18	MEXICO	0	6	3	3	0	0	non_payer
female	20	USA	0	8	3	3	2	0	non_payer
female	21	CANADA	4	7	1	3	3	0	non_payer
female	22	USA	44	1	1	0	0	0	non_payer
male	25	UK	0	59	5	1	17	36	non_payer
female	26	UK	0	2	1	1	0	0	non_payer
female	20	USA	0	0	0	0	0	0	non_payer
female	19	USA	37	16	3	8	3	2	non_payer
female	27	UK	3	8	4	2	2	0	non_payer
female	19	FRANCE	0	5	2	1	1	1	non_payer
female	18	UK	81	96	51	19	20	6	payer
female	19	USA	2	8	7	1	0	0	non_payer
female	27	USA	0	86	48	22	9	7	non_payer
male	19	USA	43	71	7	12	6	46	payer
female	24	USA	0	47	20	14	10	3	non_payer
female	30	USA	2	10	6	4	0	0	non_payer
male	19	GERMANY	0	73	2	8	13	50	non_payer
female	21	USA	4	2	1	1	0	0	non_payer
female	25	EGYPT	0	4	3	1	0	0	non_payer
female	19	USA	0	9	3	4	1	1	non_payer
female	27	FRANCE	0	69	33	17	14	5	non_payer
female	19	UK	1	23	12	6	4	1	non_payer
male	20	UK	0	74	8	8	11	47	non_payer
female	18	GERMANY	0	1	0	1	0	0	non_payer
female	25	USA	24	2	2	0	0	0	non_payer
female	21	USA	77	20	15	5	0	0	non_payer
male	28	CANADA	1	2	0	0	0	2	non_payer
female	24	FRANCE	5	6	4	1	1	0	non_payer
female	18	UK	0	18	11	3	4	0	non_payer
female	23	FRANCE	5	83	43	26	12	2	non_payer
female	24	UK	79	8	1	3	2	2	non_payer
female	19	USA	75	10	6	3	1	0	non_payer
male	18	USA	0	67	4	5	12	46	non_payer
male	19	USA	0	3	0	0	0	3	non_payer
male	21	USA	86	10	2	0	1	7	non_payer
female	18	UK	0	7	4	3	0	0	non_payer
male	18	USA	0	70	5	7	17	41	non_payer
male	24	USA	0	5	3	0	0	2	non_payer
female	23	USA	5	3	2	1	0	0	non_payer
female	26	USA	0	4	1	2	1	0	non_payer
male	23	USA	22	7	1	2	0	4	non_payer
female	21	EGYPT	0	7	3	3	1	0	non_payer
male	23	USA	70	3	0	1	0	2	non_payer
female	23	USA	0	0	0	0	0	0	non_payer
female	23	UK	5	10	3	4	1	2	non_payer
female	20	USA	37	2	1	1	0	0	non_payer
female	20	USA	0	97	57	17	19	4	non_payer
female	21	USA	6	5	2	2	1	0	non_payer
female	27	USA	100	0	0	0	0	0	non_payer
female	23	MEXICO	0	7	5	2	0	0	non_payer
female	20	MEXICO	5	5	1	3	1	0	non_payer
female	24	FRANCE	3	28	14	7	4	3	non_payer
female	23	UK	2	38	26	9	3	0	non_payer
female	18	USA	3	2	1	1	0	0	non_payer
female	23	USA	1	0	0	0	0	0	non_payer
female	20	USA	0	4	2	1	1	0	non_payer
female	24	USA	5	42	22	8	10	2	non_payer
